id,Team_or_Opponent,Att,Live_Pass_Types,Dead_Pass_Types,FK_Pass_Types,TB_Pass_Types,Sw_Pass_Types,Crs_Pass_Types,TI_Pass_Types,CK_Pass_Types,In_Corner_Kicks,Out_Corner_Kicks,Str_Corner_Kicks,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,team_id,season_id
29,opponent,19314,17461,1767,487,56,190,888,716,223,83,84,1,15516,86,313,29,2
30,opponent,21156,19121,1926,575,58,282,752,846,186,60,87,1,16725,109,365,34,2
31,opponent,18856,16832,1955,504,56,176,824,850,205,60,91,2,14611,69,384,100,2
32,opponent,18611,16649,1884,598,54,205,697,713,185,58,68,3,14699,78,256,99,2
33,opponent,18463,16519,1887,590,44,155,738,789,161,69,65,3,14388,57,304,54,2
34,opponent,19149,17058,2009,543,50,195,719,867,184,56,71,2,14630,82,261,67,2
35,opponent,17259,15156,2049,591,54,156,659,867,177,77,70,1,12928,54,358,70,2
36,opponent,16452,14707,1715,472,41,171,670,615,153,70,55,0,13258,30,311,71,2
37,opponent,16279,14226,1967,540,36,160,662,914,174,56,66,2,12311,86,320,72,2
38,opponent,15095,13204,1838,516,30,143,647,749,158,66,61,1,11300,53,272,80,2
39,opponent,17920,15730,2093,655,50,198,679,896,172,68,66,1,13730,97,331,91,2
40,opponent,15636,13738,1775,533,34,168,749,671,198,76,80,2,11881,123,267,93,2
1,team,15855,13865,1907,552,49,132,605,750,147,58,59,1,12151,83,308,1,3
2,team,18630,16594,1940,502,44,191,918,835,257,66,123,1,14440,96,386,6,3
3,team,20488,18630,1779,490,83,193,625,702,183,97,46,0,16814,79,345,7,3
4,team,24733,22836,1799,565,133,205,744,710,244,82,83,2,21298,98,340,10,3
5,team,18249,16255,1920,634,62,137,514,740,152,46,76,1,14678,74,376,12,3
6,team,18499,16495,1923,557,44,161,705,802,184,65,88,1,14700,81,300,19,3
7,team,13952,12025,1852,548,29,150,633,748,145,65,47,3,9940,75,297,24,3
8,team,15758,13769,1908,494,24,164,750,789,204,72,83,8,12051,81,390,27,3
9,team,14698,12685,1951,574,34,115,713,744,179,75,60,3,10827,62,298,29,3
10,team,14126,12118,1929,524,18,162,649,857,119,58,54,1,9690,79,333,34,3
11,team,18604,16633,1884,576,32,135,713,742,145,66,53,1,15146,87,319,35,3
12,team,14261,12483,1701,497,29,150,635,649,139,49,68,0,10451,77,306,54,3
13,team,16835,14900,1875,523,26,197,794,799,159,64,65,3,12725,60,345,67,3
14,team,17666,15514,2054,564,29,194,832,901,189,78,69,1,13497,98,365,70,3
15,team,25012,23163,1760,555,65,242,574,653,226,83,53,1,22082,89,353,71,3
16,team,19134,17244,1799,537,47,107,538,782,165,57,71,1,15324,91,324,72,3
17,team,19193,17244,1843,526,36,209,827,746,174,42,81,1,15379,106,307,80,3
18,team,17492,15405,2007,570,39,164,924,852,226,67,88,0,13592,80,345,91,3
19,team,16425,14336,1991,576,33,225,683,786,170,49,91,3,12627,98,365,92,3
20,team,19862,17980,1795,574,86,186,520,642,210,96,39,4,16634,87,347,93,3
21,opponent,19392,17371,1863,501,70,189,851,781,227,80,99,1,15420,158,367,1,3
22,opponent,17573,15545,1951,580,41,190,579,789,136,56,50,2,13537,77,358,6,3
23,opponent,20021,18229,1735,495,40,228,743,650,185,78,68,1,16384,57,352,7,3
