id,Team_or_Opponent,GA_Goals,PKA_Goals,FK_Goals,CK_Goals,OG_Goals,PSxG_Expected,PSxG_per_SoT_Expected,PSxGPlus_Minus_Expected,_per_90_Expected,Cmp_Launched,Att_Launched,Cmp_percent_Launched,Att (GK)_Passes,Thr_Passes,Launch_percent_Passes,AvgLen_Passes,Att_Goal_Kicks,Launch_percent_Goal_Kicks,AvgLen_Goal_Kicks,Opp_Crosses,Stp_Crosses,Stp_percent_Crosses,#OPA_Sweeper,#OPA_per_90_Sweeper,AvgDist_Sweeper,team_id,season_id,Mins_Per_90
1,team,65,6,0,10,0,58.5,0.3,-6.5,-0.17,369,783,47.1,808,96,64.6,53.3,351,74.4,50.9,619,26,4.2,48,1.26,17.6,102,2,38.0
2,team,36,3,0,2,1,36.9,0.26,1.9,0.05,158,402,39.3,748,201,35.4,33.8,269,50.9,41.7,577,30,5.2,41,1.08,15.2,6,2,38.0
3,team,43,7,2,4,3,32.3,0.23,-7.7,-0.2,170,598,28.4,810,155,49.9,39.0,283,68.6,48.6,477,27,5.7,29,0.76,13.8,7,2,38.0
4,team,38,2,1,7,0,34.1,0.26,-3.9,-0.1,147,289,50.9,1167,165,18.8,26.9,240,29.2,32.3,384,15,3.9,38,1.0,15.3,10,2,38.0
5,team,40,3,0,3,2,39.1,0.27,1.1,0.03,201,547,36.7,962,157,41.4,33.1,275,54.2,43.9,592,24,4.1,41,1.08,15.7,12,2,38.0
6,team,43,4,0,1,2,43.3,0.27,2.3,0.06,303,804,37.7,1176,131,51.3,40.3,283,71.0,52.4,452,36,8.0,37,0.97,14.3,19,2,38.0
7,team,51,11,0,10,0,52.8,0.24,1.8,0.05,272,792,34.3,840,119,63.3,46.0,313,83.1,60.2,586,42,7.2,28,0.74,12.1,24,2,38.0
8,team,52,7,0,6,0,54.5,0.27,2.5,0.07,257,626,41.1,966,183,42.1,36.4,346,63.3,45.9,616,25,4.1,56,1.47,15.2,27,2,38.0
9,team,53,4,0,4,2,53.6,0.3,2.6,0.07,171,466,36.7,897,221,35.1,33.8,337,44.8,36.9,662,38,5.7,48,1.26,13.7,29,2,38.0
10,team,41,2,0,5,1,40.9,0.29,0.9,0.02,366,869,42.1,892,101,69.5,61.0,294,84.7,54.2,576,26,4.5,45,1.18,5.0,34,2,38.0
11,team,61,7,0,7,2,60.2,0.27,1.2,0.03,267,818,32.6,922,162,57.7,44.0,380,75.3,52.0,615,32,5.2,64,1.68,16.1,100,2,38.0
12,team,76,5,1,13,0,65.9,0.3,-10.1,-0.27,155,460,33.7,821,151,42.1,36.6,309,36.9,34.6,532,19,3.6,47,1.24,15.6,99,2,38.0
13,team,63,6,1,5,4,53.8,0.3,-5.2,-0.14,244,595,41.0,787,130,52.4,39.4,312,58.7,43.5,576,17,3.0,20,0.53,12.6,54,2,38.0
14,team,51,4,0,11,2,49.1,0.29,0.1,0.0,396,876,45.2,884,84,68.6,46.5,315,85.7,58.5,546,24,4.4,71,1.87,18.1,67,2,38.0
15,team,50,7,0,4,1,49.7,0.25,0.7,0.02,224,648,34.6,889,193,50.6,42.1,283,70.0,52.2,495,44,8.9,41,1.08,13.9,70,2,38.0
16,team,31,3,1,2,0,37.0,0.25,6.0,0.16,79,261,30.3,926,201,21.0,28.8,289,23.2,28.2,506,24,4.7,31,0.82,15.5,71,2,38.0
17,team,37,5,1,8,0,35.5,0.24,-1.5,-0.04,211,521,40.5,1094,139,34.1,32.9,269,55.0,44.0,522,21,4.0,51,1.34,16.4,72,2,38.0
18,team,30,2,2,6,0,31.3,0.24,1.3,0.03,181,446,40.6,1051,145,29.0,29.1,277,50.9,40.6,503,32,6.4,36,0.95,13.7,80,2,38.0
19,team,53,7,0,7,3,54.1,0.29,4.1,0.11,248,623,39.8,749,140,55.3,39.8,298,70.1,50.4,534,20,3.7,45,1.18,16.0,91,2,38.0
20,team,37,4,0,3,1,37.1,0.26,1.1,0.03,146,385,37.9,1232,199,23.1,28.0,281,35.9,35.3,583,25,4.3,66,1.74,16.8,93,2,38.0
21,opponent,31,6,0,6,2,32.0,0.22,3.0,0.08,221,604,36.6,1038,176,43.4,36.9,277,55.2,42.2,585,31,5.3,48,1.26,16.2,102,2,38.0
22,opponent,43,3,1,7,3,47.5,0.26,7.5,0.2,320,765,41.8,1144,172,48.8,39.8,322,64.3,48.4,622,26,4.2,56,1.47,15.9,6,2,38.0
23,opponent,65,4,0,7,2,59.5,0.36,-3.5,-0.09,213,542,39.3,927,139,39.7,36.1,341,51.0,42.6,552,25,4.5,28,0.74,14.1,7,2,38.0
24,opponent,68,6,0,5,0,61.0,0.3,-7.0,-0.18,291,728,40.0,975,131,51.7,39.8,362,61.9,45.1,626,25,4.0,37,0.97,14.2,10,2,38.0
25,opponent,62,6,2,5,2,53.1,0.26,-6.9,-0.18,226,537,42.1,902,158,42.5,36.5,284,54.2,43.2,424,14,3.3,43,1.13,15.8,12,2,38.0
26,opponent,43,3,0,2,0,44.4,0.28,1.4,0.04,255,623,40.9,914,146,46.9,39.1,282,68.8,48.2,608,23,3.8,43,1.13,14.8,19,2,38.0
27,opponent,35,3,1,2,0,40.2,0.29,5.2,0.14,235,501,46.9,893,184,36.7,33.8,308,56.2,44.9,687,47,6.8,61,1.61,15.0,24,2,38.0
28,opponent,40,1,0,3,1,33.0,0.3,-6.0,-0.16,186,445,41.8,794,136,40.2,35.9,244,51.6,42.5,529,25,4.7,58,1.53,17.3,27,2,38.0
29,opponent,40,5,1,7,1,37.3,0.24,-1.7,-0.05,191,389,49.1,792,149,32.6,33.1,266,49.2,40.3,458,19,4.1,35,0.92,14.4,29,2,38.0
30,opponent,33,3,0,4,2,29.4,0.21,-1.6,-0.04,199,497,40.0,969,185,37.7,35.1,248,53.2,43.0,471,26,5.5,50,1.32,17.0,34,2,38.0
31,opponent,44,3,0,11,1,37.5,0.26,-5.5,-0.14,200,544,36.8,880,143,41.3,36.7,314,57.6,45.2,530,23,4.3,43,1.13,15.1,100,2,38.0
32,opponent,51,8,0,3,0,55.3,0.28,4.3,0.11,214,585,36.6,938,170,43.4,37.3,300,59.3,45.1,485,34,7.0,50,1.32,15.5,99,2,38.0
33,opponent,36,6,0,5,3,42.8,0.27,9.8,0.26,192,519,37.0,894,139,40.6,37.0,273,57.1,43.8,440,22,5.0,51,1.34,17.0,54,2,38.0
34,opponent,37,6,1,5,0,39.3,0.26,2.3,0.06,191,625,30.6,998,157,41.7,36.2,340,61.5,46.8,694,37,5.3,31,0.82,13.2,67,2,38.0
35,opponent,39,4,0,5,1,39.5,0.27,1.5,0.04,273,708,38.6,1007,166,47.1,38.8,337,69.4,51.4,645,29,4.5,39,1.03,14.8,70,2,38.0
36,opponent,80,8,0,10,0,81.0,0.29,1.0,0.03,254,612,41.5,823,142,45.1,38.1,359,67.1,48.2,472,20,4.2,35,0.92,14.9,71,2,38.0
37,opponent,40,9,2,5,0,47.5,0.25,7.5,0.2,229,682,33.6,1003,142,50.8,40.0,262,65.6,46.9,481,30,6.2,45,1.18,15.1,72,2,38.0
38,opponent,53,2,1,11,2,41.1,0.27,-9.9,-0.26,254,699,36.3,914,147,50.1,40.0,324,74.4,50.9,626,29,4.6,44,1.16,13.7,80,2,38.0
39,opponent,48,8,0,5,3,40.7,0.23,-4.3,-0.11,220,586,37.5,918,157,46.7,37.7,284,55.3,44.3,576,33,5.7,33,0.87,13.3,91,2,38.0
